,Instrument,Geographic Earnings Before Interest and Taxes (EBIT),GICS Industry Name,Total Liabilities,Depreciation And Amortization,Total Current Assets,NAICS Industry Group Name,Pricing Volatility,CIK Number,Total Equity,Cash and Short Term Investments
0,1538990,,Equity Real Estate Investment Trusts (REITs),,,,Lessors of Real Estate,,1538990.0,,
1,1538990,,,,,,,,,,
2,1538990,,,,,,,,,,
3,1538990,,,,,,,,,,
4,1538990,,,,,,,,,,
5,1538990,,,,,,,,,,
6,1538990,,,,,,,,,,
7,1538990,,,,,,,,,,
8,1538990,,,,,,,,,,
9,1538990,,,,,,,,,,
10,1538990,,,,,,,,,,
11,1538990,,,,,,,,,,
12,1538990,,,,,,,,,,
13,1538990,,,,,,,,,,
14,1538990,,,,,,,,,,
15,1538990,,,,,,,,,,
16,1538990,,,,,,,,,,
17,1538990,,,,,,,,,,
18,1538990,,,,,,,,,,
19,1538990,,,,,,,,,,
20,1538990,,,,,,,,,,
21,1538990,,,,,,,,,,
22,1538990,,,,,,,,,,
23,1538990,,,,,,,,,,
24,1538990,,,,,,,,,,
25,1538990,,,,,,,,,,
26,1538990,,,,,,,,,,
27,1538990,,,,,,,,,,
28,1538990,,,,,,,,,,
29,1538990,,,,,,,,,,
30,1538990,,,,,,,,,,
31,1538990,,,,,,,,,,
32,1538990,,,,,,,,,,
33,1538990,,,,,,,,,,
34,1538990,,,,,,,,,,
35,1538990,,,,,,,,,,
36,1538990,,,,,,,,,,
37,1538990,,,,,,,,,,
38,1538990,,,,,,,,,,
39,1538990,,,,,,,,,,
40,1538990,,,,,,,,,,
41,1538990,,,,,,,,,,
42,1538990,,,,,,,,,,
43,1538990,,,,,,,,,,
44,1538990,,,,,,,,,,
45,1538990,,,,,,,,,,
46,1538990,,,,,,,,,,
47,1538990,,,,964000.0,,,,,,
48,1538990,,,,964000.0,,,,,,
49,1538990,,,,964000.0,,,,,,
50,1538990,,,,964000.0,,,,,,
51,1538990,,,482919000.0,11015000.0,,,,,496914000.0,64752000.0
52,1538990,,,482919000.0,11015000.0,,,,,496914000.0,64752000.0
53,1538990,,,482919000.0,11015000.0,,,,,496914000.0,64752000.0
54,1538990,,,482919000.0,11015000.0,,,,,496914000.0,64752000.0
55,1538990,,,482919000.0,11015000.0,,,,,496914000.0,64752000.0
56,1538990,,,482919000.0,11015000.0,,,,,496914000.0,64752000.0
57,1538990,,,482919000.0,11015000.0,,,,,496914000.0,64752000.0
58,1538990,,,482919000.0,11015000.0,,,,,496914000.0,64752000.0
59,1538990,,,1012186000.0,30349000.0,,,,,773914000.0,61814000.0
60,1538990,,,1300019000.0,57025000.0,,,,,1582684000.0,136313000.0
61,1538990,,,1300019000.0,57025000.0,,,,,1582684000.0,136313000.0
62,1538990,,,1300019000.0,57025000.0,,,,,1582684000.0,136313000.0
63,1538990,,,1300019000.0,57025000.0,,,,,1582684000.0,136313000.0
64,1538990,,,1851595000.0,88615000.0,,,,,2059793000.0,67115000.0
65,1538990,,,1851595000.0,88615000.0,,,,,2059793000.0,67115000.0
66,1538990,,,1851595000.0,88615000.0,,,,,2059793000.0,67115000.0
67,1538990,,,1851595000.0,88615000.0,,,,,2059793000.0,67115000.0
68,1538990,,,2458413000.0,119618000.0,,,,,2483255000.0,54200000.0
69,1538990,,,2458413000.0,119618000.0,,,,,2483255000.0,54200000.0
70,1538990,,,2458413000.0,119618000.0,,,,,2483255000.0,54200000.0
71,1538990,,,2458413000.0,119618000.0,,,,,2483255000.0,54200000.0
72,1538990,,,2728835000.0,150279000.0,,,,,3170942000.0,42937000.0
73,1538990,,,2728835000.0,150279000.0,,,,,3170942000.0,42937000.0
74,1538990,,,2728835000.0,150279000.0,,,,,3170942000.0,42937000.0
75,1538990,,,2728835000.0,150279000.0,,,,,3170942000.0,42937000.0
76,1538990,,,3250470000.0,181826000.0,,,,,3863501000.0,27511000.0
77,1538990,,,3250470000.0,181826000.0,,,,,3863501000.0,27511000.0
78,1501570,,Banks,,,,Depository Credit Intermediation,,1501570.0,,
79,1501570,,,,,,,,,,
80,1501570,,,,,,,,,,
81,1501570,,,,,,,,,,
82,1501570,,,,,,,,,,
83,1501570,,,,,,,,,,
84,1501570,,,,,,,,,,
85,1501570,,,,,,,,,,
86,1501570,,,,,,,,,,
87,1501570,,,,,,,,,,
88,1501570,,,,,,,,,,
89,1501570,,,,,,,,,,
90,1501570,,,,,,,,,,
91,1501570,,,,,,,,,,
92,1501570,,,,,,,,,,
93,1501570,,,,,,,,,,
94,1501570,,,,,,,,,,
95,1501570,,,,,,,,,,
96,1501570,,,,,,,,,,
97,1501570,,,,,,,,,,
98,1501570,,,,,,,,,,
99,1501570,,,,,,,,,,
100,1501570,,,,,,,,,,
101,1501570,,,,,,,,,,
102,1501570,,,,,,,,,,
103,1501570,,,,,,,,,,
104,1501570,,,,,,,,,,
105,1501570,,,,,,,,,,
106,1501570,,,,,,,,,,
107,1501570,,,,,,,,,,
108,1501570,,,,,,,,,,
109,1501570,,,,,,,,,,
110,1501570,,,,,,,,,,
111,1501570,,,,,,,,,,
112,1501570,,,,,,,,,,
113,1501570,,,,,,,,,,
114,1501570,,,,,,,,,,
115,1501570,,,,,,,,,,
116,1501570,,,,,,,,,,
117,1501570,,,,,,,,,,
118,1501570,,,,,,,,,,
119,1501570,,,,,,,,,,
120,1501570,,,,,,,,,,
121,1501570,,,,,,,,,33019000.0,
122,1501570,,,,,,,,,33019000.0,
123,1501570,,,,,,,,,33019000.0,
124,1501570,,,,,,,,,33019000.0,
125,1501570,,,,,,,,,58676000.0,
126,1501570,,,,,,,,,58676000.0,
127,1501570,,,,,,,,,58676000.0,
128,1501570,,,,,,,,,58676000.0,
129,1501570,,,462267000.0,,,,,,61860000.0,
130,1501570,,,462267000.0,,,,,,61860000.0,
131,1501570,,,462267000.0,,,,,,61860000.0,
132,1501570,,,462267000.0,,,,,,61860000.0,
133,1501570,,,462267000.0,,,,,,61860000.0,
134,1501570,,,462267000.0,,,,,,61860000.0,
135,1501570,,,462267000.0,,,,,,61860000.0,
136,1501570,,,462267000.0,,,,,,61860000.0,
137,1501570,,,598732000.0,,,,,,66239000.0,
138,1501570,,,688974000.0,,,,,,113312000.0,
139,1501570,,,688974000.0,,,,,,113312000.0,
140,1501570,,,688974000.0,,,,,,113312000.0,
141,1501570,,,688974000.0,,,,,,113312000.0,
142,1501570,,,907505000.0,,,,,,132046000.0,
143,1501570,,,907505000.0,,,,,,132046000.0,
144,1501570,,,907505000.0,,,,,,132046000.0,
145,1501570,,,907505000.0,,,,,,132046000.0,
146,1501570,,,1169419000.0,,,,,,239088000.0,
147,1501570,,,1169419000.0,,,,,,239088000.0,
148,1501570,,,1169419000.0,,,,,,239088000.0,
149,1501570,,,1169419000.0,,,,,,239088000.0,
150,1501570,,,2456654000.0,,,,,,488929000.0,
151,1501570,,,2456654000.0,,,,,,488929000.0,
152,1501570,,,2456654000.0,,,,,,488929000.0,
153,1501570,,,2456654000.0,,,,,,488929000.0,
154,1501570,,,2677912000.0,,,,,,530638000.0,
155,1501570,,,2677912000.0,,,,,,530638000.0,
156,1608390,,Biotechnology,,,,Scientific Research and Development Services,,1608390.0,,
157,1608390,,,,,,,,,,
158,1608390,,,,,,,,,,
159,1608390,,,,,,,,,,
160,1608390,,,,,,,,,,
161,1608390,,,,,,,,,,
162,1608390,,,,,,,,,,
163,1608390,,,,,,,,,,
164,1608390,,,,,,,,,,
165,1608390,,,,,,,,,,
166,1608390,,,,,,,,,,
167,1608390,,,,,,,,,,
168,1608390,,,,,,,,,,
169,1608390,,,,,,,,,,
170,1608390,,,,,,,,,,
171,1608390,,,,,,,,,,
172,1608390,,,,,,,,,,
173,1608390,,,,,,,,,,
174,1608390,,,,,,,,,,
175,1608390,,,,,,,,,,
176,1608390,,,,,,,,,,
177,1608390,,,,,,,,,,
178,1608390,,,,,,,,,,
179,1608390,,,,,,,,,,
180,1608390,,,,,,,,,,
181,1608390,,,,,,,,,,
182,1608390,,,,,,,,,,
183,1608390,,,,,,,,,,
184,1608390,,,,,,,,,,
185,1608390,,,,,,,,,,
186,1608390,,,,,,,,,,
187,1608390,,,,,,,,,,
188,1608390,,,,,,,,,,
189,1608390,,,,,,,,,,
190,1608390,,,,,,,,,,
191,1608390,,,,,,,,,,
192,1608390,,,,,,,,,,
193,1608390,,,,,,,,,,
194,1608390,,,,,,,,,,
195,1608390,,,,,,,,,,
196,1608390,,,,,,,,,,
197,1608390,,,,,,,,,,
198,1608390,,,,,,,,,,
199,1608390,,,,,,,,,,
200,1608390,,,,,,,,,,
201,1608390,,,,,,,,,,
202,1608390,,,,,,,,,,
203,1608390,,,,,,,,,,
204,1608390,,,,,,,,,,
205,1608390,,,,,,,,,,
206,1608390,,,,,,,,,,
207,1608390,,,,,,,,,,
208,1608390,,,,,,,,,,
209,1608390,,,80315000.0,395000.0,5691000.0,,,,-73124000.0,4902000.0
210,1608390,,,80315000.0,395000.0,5691000.0,,,,-73124000.0,4902000.0
211,1608390,,,80315000.0,395000.0,5691000.0,,,,-73124000.0,4902000.0
212,1608390,,,80315000.0,395000.0,5691000.0,,,,-73124000.0,4902000.0
213,1608390,,,105723000.0,427000.0,5292000.0,,,,-99223000.0,4151000.0
214,1608390,,,105723000.0,427000.0,5292000.0,,,,-99223000.0,4151000.0
215,1608390,,,105723000.0,427000.0,5292000.0,,,,-99223000.0,4151000.0
216,1608390,,,10114000.0,428000.0,40863000.0,,,,31795000.0,39725000.0
217,1608390,,,10114000.0,428000.0,40863000.0,,,,31795000.0,39725000.0
218,1608390,,,10114000.0,428000.0,40863000.0,,,,31795000.0,39725000.0
219,1608390,,,10114000.0,428000.0,40863000.0,,,,31795000.0,39725000.0
220,1608390,,,12048000.0,308000.0,78335000.0,,,,67274000.0,76740000.0
221,1608390,,,12048000.0,308000.0,78335000.0,,,,67274000.0,76740000.0
222,1608390,,,12048000.0,308000.0,78335000.0,,,,67274000.0,76740000.0
223,1608390,,,12048000.0,308000.0,78335000.0,,,,67274000.0,76740000.0
224,1608390,,,9988000.0,322000.0,47862000.0,,,,38751000.0,44894000.0
225,1608390,,,9988000.0,322000.0,47862000.0,,,,38751000.0,44894000.0
226,1608390,,,9988000.0,322000.0,47862000.0,,,,38751000.0,44894000.0
227,1608390,,,9988000.0,322000.0,47862000.0,,,,38751000.0,44894000.0
228,1608390,,,11579000.0,309000.0,41980000.0,,,,31579000.0,39837000.0
229,1608390,,,11579000.0,309000.0,41980000.0,,,,31579000.0,39837000.0
230,1608390,,,11579000.0,309000.0,41980000.0,,,,31579000.0,39837000.0
231,1608390,,,11579000.0,309000.0,41980000.0,,,,31579000.0,39837000.0
232,1608390,,,76045000.0,351000.0,110879000.0,,,,40129000.0,108803000.0
233,1608390,,,76045000.0,351000.0,110879000.0,,,,40129000.0,108803000.0
234,1610418,,"Oil, Gas & Consumable Fuels",,,,Pipeline Transportation of Natural Gas,,1610418.0,,
235,1610418,,,,,,,,,,
236,1610418,,,,,,,,,,
237,1610418,,,,,,,,,,
238,1610418,,,,,,,,,,
239,1610418,,,,,,,,,,
240,1610418,,,,,,,,,,
241,1610418,,,,,,,,,,
242,1610418,,,,,,,,,,
243,1610418,,,,,,,,,,
244,1610418,,,,,,,,,,
245,1610418,,,,,,,,,,
246,1610418,,,,,,,,,,
247,1610418,,,,,,,,,,
248,1610418,,,,,,,,,,
249,1610418,,,,,,,,,,
250,1610418,,,,,,,,,,
251,1610418,,,,,,,,,,
252,1610418,,,,,,,,,,
253,1610418,,,,,,,,,,
254,1610418,,,,,,,,,,
255,1610418,,,,,,,,,,
256,1610418,,,,,,,,,,
257,1610418,,,,,,,,,,
258,1610418,,,,,,,,,,
259,1610418,,,,,,,,,,
260,1610418,,,,,,,,,,
261,1610418,,,,,,,,,,
262,1610418,,,,,,,,,,
263,1610418,,,,,,,,,,
264,1610418,,,,,,,,,,
265,1610418,,,,,,,,,,
266,1610418,,,,,,,,,,
267,1610418,,,,,,,,,,
268,1610418,,,,,,,,,,
269,1610418,,,,,,,,,,
270,1610418,,,,,,,,,,
271,1610418,,,,,,,,,,
272,1610418,,,,,,,,,,
273,1610418,,,,,,,,,,
274,1610418,,,,,,,,,,
275,1610418,,,,,,,,,,
276,1610418,,,,,,,,,,
277,1610418,,,,,,,,,,
278,1610418,,,,,,,,,,
279,1610418,,,,,,,,,,
280,1610418,,,,,,,,,,
281,1610418,,,,,,,,,,
282,1610418,,,,,,,,,,
283,1610418,,,,,,,,,,
284,1610418,,,,,,,,,,
285,1610418,,,,,,,,,,
286,1610418,,,,,,,,,,
287,1610418,,,,,,,,,,
288,1610418,,,21455000.0,3438000.0,16954000.0,,,,244950000.0,7386000.0
289,1610418,,,21455000.0,3438000.0,16954000.0,,,,244950000.0,7386000.0
290,1610418,,,21455000.0,3438000.0,16954000.0,,,,244950000.0,7386000.0
291,1610418,,,21455000.0,3438000.0,16954000.0,,,,244950000.0,7386000.0
292,1610418,,,41190000.0,5825000.0,21148000.0,,,,368074000.0,5976000.0
293,1610418,,,41190000.0,5825000.0,21148000.0,,,,368074000.0,5976000.0
294,1610418,,,393249000.0,7330000.0,63445000.0,,,,293555000.0,3252000.0
295,1610418,,,393249000.0,7330000.0,63445000.0,,,,293555000.0,3252000.0
296,1610418,,,393249000.0,7330000.0,63445000.0,,,,293555000.0,3252000.0
297,1610418,,,393249000.0,7330000.0,63445000.0,,,,293555000.0,3252000.0
298,1610418,,,611315000.0,15053000.0,57588000.0,,,,313110000.0,217000.0
299,1610418,,,611315000.0,15053000.0,57588000.0,,,,313110000.0,217000.0
300,1610418,,,611315000.0,15053000.0,57588000.0,,,,313110000.0,217000.0
301,1610418,,,611315000.0,15053000.0,57588000.0,,,,313110000.0,217000.0
302,1610418,,,568502000.0,21201000.0,31036000.0,,,,350055000.0,6421000.0
303,1610418,,,568502000.0,21201000.0,31036000.0,,,,350055000.0,6421000.0
304,1610418,,,568502000.0,21201000.0,31036000.0,,,,350055000.0,6421000.0
305,1610418,,,568502000.0,21201000.0,31036000.0,,,,350055000.0,6421000.0
306,1610418,,,532834000.0,22692000.0,26718000.0,,,,393755000.0,3194000.0
307,1610418,,,532834000.0,22692000.0,26718000.0,,,,393755000.0,3194000.0
308,1610418,,,532834000.0,22692000.0,26718000.0,,,,393755000.0,3194000.0
309,1610418,,,532834000.0,22692000.0,26718000.0,,,,393755000.0,3194000.0
310,1610418,,,593985000.0,21939000.0,30450000.0,,,,331443000.0,3966000.0
311,1610418,,,593985000.0,21939000.0,30450000.0,,,,331443000.0,3966000.0
312,817785,,,9824000.0,,23289000.0,Pharmaceutical and Medicine Manufacturing,,817785.0,30173000.0,23087000.0
313,817785,,,9824000.0,,23289000.0,,,,30173000.0,23087000.0
314,817785,,,9824000.0,,23289000.0,,,,30173000.0,23087000.0
315,817785,,,9824000.0,,23289000.0,,,,30173000.0,23087000.0
316,817785,,,16174000.0,,28963000.0,,,,29429000.0,28356000.0
317,817785,,,16174000.0,,28963000.0,,,,29429000.0,28356000.0
318,817785,,,16174000.0,,28963000.0,,,,29429000.0,28356000.0
319,817785,,,16174000.0,,28963000.0,,,,29429000.0,28356000.0
320,817785,,,16174000.0,,28963000.0,,,,29429000.0,28356000.0
321,817785,,,4410000.0,,3562000.0,,,,13088000.0,2701000.0
322,817785,,,4410000.0,,3562000.0,,,,13088000.0,2701000.0
323,817785,,,7980000.0,,4361000.0,,,,6585000.0,3941000.0
324,817785,,,7980000.0,,4361000.0,,,,6585000.0,3941000.0
325,817785,,,7980000.0,,4361000.0,,,,6585000.0,3941000.0
326,817785,,,7980000.0,,4361000.0,,,,6585000.0,3941000.0
327,817785,,,7980000.0,,4361000.0,,,,6585000.0,3941000.0
328,817785,,,12599000.0,,13214000.0,,,,8373000.0,12842000.0
329,817785,,,12599000.0,,13214000.0,,,,8373000.0,12842000.0
330,817785,,,12599000.0,,13214000.0,,,,8373000.0,12842000.0
331,817785,,,12599000.0,,13214000.0,,,,8373000.0,12842000.0
332,817785,,,11202000.0,,9162000.0,,,,4494000.0,8798000.0
333,817785,,,11202000.0,,9162000.0,,,,4494000.0,8798000.0
334,817785,,,11202000.0,,9162000.0,,,,4494000.0,8798000.0
335,817785,,,11202000.0,,9162000.0,,,,4494000.0,8798000.0
336,817785,,,11066000.0,,437000.0,,,,-5650000.0,146000.0
337,817785,,,11066000.0,,437000.0,,,,-5650000.0,146000.0
338,817785,,,11066000.0,,437000.0,,,,-5650000.0,146000.0
339,817785,,,11066000.0,,437000.0,,,,-5650000.0,146000.0
340,817785,,,11066000.0,,437000.0,,,,-5650000.0,146000.0
341,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
342,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
343,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
344,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
345,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
346,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
347,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
348,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
349,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
350,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
351,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
352,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
353,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
354,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
355,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
356,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
357,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
358,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
359,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
360,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
361,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
362,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
363,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
364,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
365,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
366,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
367,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
368,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
369,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
370,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
371,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
372,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
373,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
374,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
375,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
376,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
377,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
378,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
379,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
380,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
381,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
382,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
383,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
384,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
385,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
386,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
387,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
388,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
389,817785,,,18990000.0,,4710000.0,,,,-10884000.0,3421000.0
390,803578,,IT Services,3004000.0,,2266000.0,Computer Systems Design and Related Services,,803578.0,107000.0,133000.0
391,803578,,,3004000.0,,2266000.0,,,,107000.0,133000.0
392,803578,,,3004000.0,,2266000.0,,,,107000.0,133000.0
393,803578,,,3004000.0,,2266000.0,,,,107000.0,133000.0
394,803578,,,3004000.0,,2266000.0,,,,107000.0,133000.0
395,803578,,,2537000.0,,1350000.0,,,,-516000.0,43000.0
396,803578,,,2537000.0,,1350000.0,,,,-516000.0,43000.0
397,803578,,,2537000.0,,1350000.0,,,,-516000.0,43000.0
398,803578,,,2537000.0,,1350000.0,,,,-516000.0,43000.0
399,803578,,,2373000.0,,1748000.0,,,,-208000.0,103000.0
400,803578,,,2373000.0,,1748000.0,,,,-208000.0,103000.0
401,803578,,,2373000.0,,1748000.0,,,,-208000.0,103000.0
402,803578,,,2373000.0,,1748000.0,,,,-208000.0,103000.0
403,803578,,,1484000.0,,951000.0,,,,-202000.0,81000.0
404,803578,,,1484000.0,,951000.0,,,,-202000.0,81000.0
405,803578,,,1484000.0,,951000.0,,,,-202000.0,81000.0
406,803578,,,2628000.0,,2119000.0,,,,-435000.0,318000.0
407,803578,,,2628000.0,,2119000.0,,,,-435000.0,318000.0
408,803578,,,2628000.0,,2119000.0,,,,-435000.0,318000.0
409,803578,,,2628000.0,,2119000.0,,,,-435000.0,318000.0
410,803578,,,2338000.0,,2426000.0,,,,133000.0,116000.0
411,803578,,,2338000.0,,2426000.0,,,,133000.0,116000.0
412,803578,,,2338000.0,,2426000.0,,,,133000.0,116000.0
413,803578,,,2338000.0,,2426000.0,,,,133000.0,116000.0
414,803578,,,1841000.0,,2729000.0,,,,956000.0,452000.0
415,803578,,,1841000.0,,2729000.0,,,,956000.0,452000.0
416,803578,,,1841000.0,,2729000.0,,,,956000.0,452000.0
417,803578,,,1841000.0,,2729000.0,,,,956000.0,452000.0
418,803578,,,1841000.0,,2729000.0,,,,956000.0,452000.0
419,803578,,,1476000.0,,3074000.0,,,,1675000.0,808000.0
420,803578,,,1476000.0,,3074000.0,,,,1675000.0,808000.0
421,803578,,,1476000.0,,3074000.0,,,,1675000.0,808000.0
422,803578,,,1476000.0,,3074000.0,,,,1675000.0,808000.0
423,803578,,,1423000.0,,3253000.0,,,,1918000.0,1223000.0
424,803578,,,1423000.0,,3253000.0,,,,1918000.0,1223000.0
425,803578,,,1423000.0,,3253000.0,,,,1918000.0,1223000.0
426,803578,,,1652000.0,,3142000.0,,,,1552000.0,1549000.0
427,803578,,,1652000.0,,3142000.0,,,,1552000.0,1549000.0
428,803578,,,1652000.0,,3142000.0,,,,1552000.0,1549000.0
429,803578,,,1652000.0,,3142000.0,,,,1552000.0,1549000.0
430,803578,,,1430760.0,,3107620.0,,,,1719580.0,1478500.0
431,803578,,,1430760.0,,3107620.0,,,,1719580.0,1478500.0
432,803578,,,1430760.0,,3107620.0,,,,1719580.0,1478500.0
433,803578,,,1430760.0,,3107620.0,,,,1719580.0,1478500.0
434,803578,,,1490140.0,,3317280.0,,,,1880080.0,1968080.0
435,803578,,,1490140.0,,3317280.0,,,,1880080.0,1968080.0
436,803578,,,1490140.0,,3317280.0,,,,1880080.0,1968080.0
437,803578,,,1490140.0,,3317280.0,,,,1880080.0,1968080.0
438,803578,,,2975360.0,,4964540.0,,,,2040190.0,1280930.0
439,803578,,,2975360.0,,4964540.0,,,,2040190.0,1280930.0
440,803578,,,2975360.0,,4964540.0,,,,2040190.0,1280930.0
441,803578,,,2975360.0,,4964540.0,,,,2040190.0,1280930.0
442,803578,,,1456260.0,,3554880.0,,,,2148010.0,2623020.0
443,803578,,,1456260.0,,3554880.0,,,,2148010.0,2623020.0
444,803578,,,1456260.0,,3554880.0,,,,2148010.0,2623020.0
445,803578,,,1456260.0,,3554880.0,,,,2148010.0,2623020.0
446,803578,,,2300410.0,,4338570.0,,,,2105990.0,2359530.0
447,803578,,,2300410.0,,4338570.0,,,,2105990.0,2359530.0
448,803578,,,2300410.0,,4338570.0,,,,2105990.0,2359530.0
449,803578,,,2300410.0,,4338570.0,,,,2105990.0,2359530.0
450,803578,,,2159170.0,,4184510.0,,,,2090400.0,2450010.0
451,803578,,,2159170.0,,4184510.0,,,,2090400.0,2450010.0
452,803578,,,2159170.0,,4184510.0,,,,2090400.0,2450010.0
453,803578,,,2159170.0,,4184510.0,,,,2090400.0,2450010.0
454,803578,,,1940430.0,,4069300.0,,,,2177190.0,2167930.0
455,803578,,,1940430.0,,4069300.0,,,,2177190.0,2167930.0
456,803578,,,1940430.0,,4069300.0,,,,2177190.0,2167930.0
457,803578,,,1940430.0,,4069300.0,,,,2177190.0,2167930.0
458,803578,,,2119910.0,,3718950.0,,,,1632520.0,1895370.0
459,803578,,,2119910.0,,3718950.0,,,,1632520.0,1895370.0
460,803578,,,2119910.0,,3718950.0,,,,1632520.0,1895370.0
461,803578,,,2119910.0,,3718950.0,,,,1632520.0,1895370.0
462,803578,,,1840960.0,,3717570.0,,,,1894030.0,2731510.0
463,803578,,,1840960.0,,3717570.0,,,,1894030.0,2731510.0
464,803578,,,1840960.0,,3717570.0,,,,1894030.0,2731510.0
465,803578,,,1840960.0,,3717570.0,,,,1894030.0,2731510.0
466,803578,,,1151170.0,,3010330.0,,,,1872590.0,1963960.0
467,803578,,,1151170.0,,3010330.0,,,,1872590.0,1963960.0
468,1591476,,"Oil, Gas & Consumable Fuels",,,,Oil and Gas Extraction,,1591476.0,,
469,1591476,,,,,,,,,,
470,1591476,,,,,,,,,,
471,1591476,,,,,,,,,,
472,1591476,,,,,,,,,,
473,1591476,,,,,,,,,,
474,1591476,,,,,,,,,,
475,1591476,,,,,,,,,,
476,1591476,,,,,,,,,,
477,1591476,,,,,,,,,,
478,1591476,,,,,,,,,,
479,1591476,,,,,,,,,,
480,1591476,,,,,,,,,,
481,1591476,,,,,,,,,,
482,1591476,,,,,,,,,,
483,1591476,,,,,,,,,,
484,1591476,,,,,,,,,,
485,1591476,,,,,,,,,,
486,1591476,,,,,,,,,,
487,1591476,,,,,,,,,,
488,1591476,,,,,,,,,,
489,1591476,,,,,,,,,,
490,1591476,,,,,,,,,,
491,1591476,,,,,,,,,,
492,1591476,,,,,,,,,,
493,1591476,,,,,,,,,,
494,1591476,,,,,,,,,,
495,1591476,,,,,,,,,,
496,1591476,,,,,,,,,,
497,1591476,,,,,,,,,,
498,1591476,,,,,,,,,,
499,1591476,,,,,,,,,,
500,1591476,,,,,,,,,,
501,1591476,,,,,,,,,,
502,1591476,,,,,,,,,,
503,1591476,,,,,,,,,,
504,1591476,,,,,,,,,,
505,1591476,,,,,,,,,,
506,1591476,,,,,,,,,,
507,1591476,,,,,,,,,,
508,1591476,,,,,,,,,,
509,1591476,,,,,,,,,,
510,1591476,,,,,,,,,,
511,1591476,,,,,,,,,,
512,1591476,,,,,,,,,,
513,1591476,,,,,,,,,,
514,1591476,,,38600.0,,171720.0,,,,281310.0,170520.0
515,1591476,,,38600.0,,171720.0,,,,281310.0,170520.0
516,1591476,,,38600.0,,171720.0,,,,281310.0,170520.0
517,1591476,,,38600.0,,171720.0,,,,281310.0,170520.0
518,1591476,,,30470.0,0.0,419610.0,,,,862620.0,375660.0
519,1591476,,,30470.0,0.0,419610.0,,,,862620.0,375660.0
520,1591476,,,30470.0,0.0,419610.0,,,,862620.0,375660.0
521,1591476,,,30470.0,0.0,419610.0,,,,862620.0,375660.0
522,1591476,,,15630.0,230.0,234490.0,,,,696470.0,220350.0
523,1591476,,,15630.0,230.0,234490.0,,,,696470.0,220350.0
524,1591476,,,15630.0,230.0,234490.0,,,,696470.0,220350.0
